Date,Block/Phase,Lift,Estimated 1RM,Working Weight,Working Sets x Reps,Trend,Notes
2026-05-01,Strength Block,Back Squat,,, ,,,
2026-05-01,Strength Block,Deadlift,,, ,,,
2026-05-01,Strength Block,Bench Press,,, ,,,
2026-05-01,Strength Block,Overhead Press,,, ,,,
2026-05-01,Strength Block,Barbell Row,,, ,,,
2026-05-01,Strength Block,Romanian Deadlift,,, ,,,
2026-05-01,Strength Block,Split Squat,,, ,,,
,,,,,,,
2026-07-31,End of Strength Block,Back Squat,,, ,,,
2026-07-31,End of Strength Block,Deadlift,,, ,,,
2026-07-31,End of Strength Block,Bench Press,,, ,,,
2026-07-31,End of Strength Block,Overhead Press,,, ,,,
2026-07-31,End of Strength Block,Barbell Row,,, ,,,
2026-07-31,End of Strength Block,Romanian Deadlift,,, ,,,
2026-07-31,End of Strength Block,Split Squat,,, ,,,
,,,,,,,
2026-09-30,End of 5K Block,Back Squat,,, ,,,
2026-09-30,End of 5K Block,Deadlift,,, ,,,
2026-09-30,End of 5K Block,Bench Press,,, ,,,
2026-09-30,End of 5K Block,Overhead Press,,, ,,,
2026-09-30,End of 5K Block,Barbell Row,,, ,,,
2026-09-30,End of 5K Block,Romanian Deadlift,,, ,,,
2026-09-30,End of 5K Block,Split Squat,,, ,,,
,,,,,,,
2026-11-30,End of 10K Block,Back Squat,,, ,,,
2026-11-30,End of 10K Block,Deadlift,,, ,,,
2026-11-30,End of 10K Block,Bench Press,,, ,,,
2026-11-30,End of 10K Block,Overhead Press,,, ,,,
2026-11-30,End of 10K Block,Barbell Row,,, ,,,
2026-11-30,End of 10K Block,Romanian Deadlift,,, ,,,
2026-11-30,End of 10K Block,Split Squat,,, ,,,
